Ticker,Company,Market,QuoteType,Price,Change,Volume,MarketCap
NGD,New Gold Inc.,us_market,EQUITY,10.03,-2.08,27194254,7968675328
DKNG,DraftKings Inc.,us_market,EQUITY,27.51,-2.4300003,25649778,13693721600
CSCO,"Cisco Systems, Inc.",us_market,EQUITY,78.32,-0.11000061,22908982,309449719808
RITM,Rithm Capital Corp.,us_market,EQUITY,10.94,-0.97140026,25154556,6062911488
RIVN,"Rivian Automotive, Inc.",us_market,EQUITY,14.75,-0.42000008,23680426,18082217984
CRWV,"CoreWeave, Inc.",us_market,EQUITY,93.19,-6.3399963,24263093,48575594496
CLSK,"CleanSpark, Inc.",us_market,EQUITY,11.84,-0.75,24335624,3028084480
UBER,"Uber Technologies, Inc.",us_market,EQUITY,80.05,-1.6649933,24235569,166937772032
WBD,"Warner Bros. Discovery, Inc. - ",us_market,EQUITY,27.54,-0.059999466,20005401,68285067264
NOW,"ServiceNow, Inc.",us_market,EQUITY,117.01,0.27999878,28019549,123462279168
SMCI,"Super Micro Computer, Inc.",us_market,EQUITY,29.11,-1.0100002,23001348,17377830912
HOOD,"Robinhood Markets, Inc.",us_market,EQUITY,99.48,-1.7599945,23205506,89451315200
META,"Meta Platforms, Inc.",us_market,EQUITY,716.5,-21.809998,22691755,1812426522624
KGC,Kinross Gold Corporation,us_market,EQUITY,31.56,-5.039999,24917399,38582845440
PATH,"UiPath, Inc.",us_market,EQUITY,12.59,-0.6449995,23972832,6732498944
XOM,Exxon Mobil Corporation,us_market,EQUITY,141.4,1.0,29619485,596307214336
MSTR,Strategy Inc,us_market,EQUITY,149.71,6.5200043,22350338,43317788672
RKLB,Rocket Lab Corporation,us_market,EQUITY,80.07,-5.6100006,22561028,42769895424
WMT,Walmart Inc.,us_market,EQUITY,119.14,1.7299957,19200372,949885468672
KHC,The Kraft Heinz Company,us_market,EQUITY,23.74,0.6000004,16724846,28099983360
GOOG,Alphabet Inc.,us_market,EQUITY,338.53,-0.13000488,19746733,4086677897216
